id_bien;com_code;Code postal;Nombre pieces principales;Surface Carrez du 1er lot;Type local
22485;38337;38140;3;110.34;Appartement
22486;38347;38940;2;350;Appartement
22487;38377;38110;1;43.53;Appartement
22488;38421;38400;3;68.04;Appartement
22489;38548;38250;1;28.92;Appartement
22490;40001;40800;1;17.27;Appartement
22491;40036;40230;4;106.32;Maison
22492;40065;40130;1;22.57;Appartement
22493;40088;40100;2;43.09;Appartement
22494;40150;40550;3;25.08;Appartement
22495;40184;40200;2;26.79;Maison
22496;40187;40660;2;41.6;Appartement
22497;40243;40370;2;36.56;Appartement
22498;40296;40510;2;31.66;Appartement
22499;40310;40140;2;26.7;Appartement
22500;41151;41400;3;57.12;Appartement
22501;42011;42510;5;128.21;Maison
22502;42232;42370;4;129.57;Maison
22503;43012;43110;3;128.94;Appartement
22504;44026;44470;3;74.66;Appartement
22505;44026;44470;1;45.02;Appartement
22506;44055;44500;2;45.25;Appartement
22507;44055;44500;1;38;Appartement
22508;44109;44200;2;54.09;Appartement
22509;44109;44200;2;21.91;Appartement
22510;44109;44100;1;77.9;Appartement
22511;44109;44100;4;68.76;Appartement
22512;44132;44380;2;36.28;Appartement
22513;44143;44400;2;49.47;Appartement
22514;44143;44400;3;63.39;Appartement
22515;44143;44400;5;91.11;Appartement
22516;44154;44250;3;68.06;Appartement
22517;44162;44800;6;124.32;Maison
22518;44162;44800;3;64.76;Appartement
22519;44162;44800;3;72.75;Maison
22520;44184;44600;1;16.27;Appartement
22521;45075;45380;4;86.4;Appartement
22522;45232;45160;4;70.49;Appartement
22523;45234;45000;2;58.11;Appartement
22524;49007;49100;2;56.63;Appartement
22525;49007;49100;1;24.43;Appartement
22526;49007;49000;4;69.78;Appartement
22527;49007;49100;2;50.7;Appartement
22528;49007;49100;5;114.25;Appartement
22529;49015;49240;4;68.43;Appartement
22530;49347;49125;2;45.83;Appartement
22531;51055;51450;3;67.77;Appartement
22532;51108;51000;1;19.59;Appartement
22533;51454;51100;4;99.44;Maison
22534;51454;51100;2;42.69;Appartement
22535;51454;51100;4;66.94;Appartement
22536;51454;51100;4;73.6;Appartement
22537;54184;54270;2;28.04;Appartement
22538;54234;54730;4;106.53;Appartement
22539;54304;54520;4;52.6;Maison
22540;54395;54000;2;65.38;Appartement
22541;54395;54000;4;66.56;Appartement
22542;54482;54130;4;72.7;Appartement
22543;54580;54190;3;76.84;Appartement
22544;56003;56610;2;32.1;Appartement
22545;56186;56170;2;33.27;Appartement
